318: 3.622880, 3.975834 avg, 0.000010 rate, 4.314822 seconds, 20352 images
319: 2.926843, 3.870935 avg, 0.000010 rate, 4.270329 seconds, 20416 images
320: 4.056994, 3.889541 avg, 0.000010 rate, 4.145859 seconds, 20480 images
321: 3.400839, 3.840671 avg, 0.000011 rate, 2.728155 seconds, 20544 images
322: 3.491064, 3.805710 avg, 0.000011 rate, 2.656547 seconds, 20608 images
323: 4.028965, 3.828035 avg, 0.000011 rate, 2.929906 seconds, 20672 images
324: 4.247905, 3.870022 avg, 0.000011 rate, 2.801787 seconds, 20736 images
325: 3.953948, 3.878415 avg, 0.000011 rate, 2.790451 seconds, 20800 images
326: 3.854377, 3.876011 avg, 0.000011 rate, 2.674216 seconds, 20864 images
327: 3.992219, 3.887632 avg, 0.000011 rate, 2.745200 seconds, 20928 images
328: 3.636016, 3.862470 avg, 0.000012 rate, 2.694119 seconds, 20992 images
329: 4.102578, 3.886481 avg, 0.000012 rate, 2.777668 seconds, 21056 images
330: 3.198461, 3.817679 avg, 0.000012 rate, 2.811293 seconds, 21120 images
331: 3.864315, 3.822343 avg, 0.000012 rate, 2.261231 seconds, 21184 images
332: 4.371648, 3.877273 avg, 0.000012 rate, 2.202222 seconds, 21248 images
333: 3.617525, 3.851299 avg, 0.000012 rate, 2.402931 seconds, 21312 images
